AEP,Stage_0b ,Stage_1a ,Stage_1b ,Stage_1c ,Stage_1d ,Stage_1e ,Stage_2a ,Stage_2b ,Stage_3a ,Stage_3b,Stage_3c ,Stage_3d ,Stage_3e ,Stage_3f ,Stage_3g ,Stage_3h ,Stage_3i ,Stage_3j ,Stage_4a ,Stage_4b ,Stage_4c ,Stage_4d ,Stage_4e ,Stage_4f ,Stage_5a ,Stage_5b ,Stage_5c,Stage_5d,Stage_6a ,Stage_6b ,Stage_7a ,Stage_7b ,Stage_7c ,Stage_7d ,Stage_7e ,Stage_8a ,Stage_8b ,Stage_8c
3.01E-07,1716.34,1718.4,1718.4,1718.4,1717.7,1717.67,1718.4,1717.79,1716.98,1717.79,1718.4,1718.4,1718.4,1718.4,1716.4,1717,1717.79,1718.4,1718.4,1715.44,1718.4,1717.59,1716.59,1716.78,1716.48,1716.22,1716.31,1716.09,1718.4,1716.24,1718.4,1718.4,1718.4,1717.7,1717.68,1718.4,1717.23,1709.5
2.01E-07,1716.99,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.24,1717.67,1718.24,1718.4,1718.4,1718.4,1718.4,1717.02,1717.68,1718.24,1718.4,1718.4,1716.19,1718.4,1718.09,1717.32,1717.63,1717.21,1717.14,1717.15,1717.00,1718.4,1716.96,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1717.94,1710.2
1.00E-07,1718.07,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.35,1718.4,1718.4,1718.4,1718.4,1718.4,1718.07,1718.36,1718.4,1718.4,1718.4,1717.13,1718.4,1718.4,1718.28,1718.4,1718.12,1718.1,1718.10,1718.05,1718.4,1718.05,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1710.2
9.03E-08,1718.18,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.18,1718.4,1718.4,1718.4,1718.4,1717.31,1718.4,1718.4,1718.37,1718.4,1718.21,1718.19,1718.20,1718.16,1718.4,1718.16,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1710.2
8.03E-08,1718.28,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.28,1718.4,1718.4,1718.4,1718.4,1717.5,1718.4,1718.4,1718.4,1718.4,1718.3,1718.29,1718.29,1718.26,1718.4,1718.27,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1710.2
7.02E-08,1718.39,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.39,1718.4,1718.4,1718.4,1718.4,1717.68,1718.4,1718.4,1718.4,1718.4,1718.39,1718.39,1718.39,1718.37,1718.4,1718.37,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1710.2
6.02E-08,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1717.87,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.40,1718.40,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1710.2
5.02E-08,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.06,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.40,1718.40,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1710.2
4.02E-08,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.24,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.40,1718.40,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1710.2
3.01E-08,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.40,1718.40,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1710.2
2.01E-08,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.40,1718.40,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1710.2
1.00E-08,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.40,1718.40,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1710.2
9.04E-09,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.40,1718.40,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1710.2
8.04E-09,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.40,1718.40,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1710.2
7.03E-09,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.40,1718.40,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1710.2
6.03E-09,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.40,1718.40,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1710.2
5.02E-09,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.40,1718.40,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1710.2
4.02E-09,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.40,1718.40,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1710.2
3.02E-09,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.40,1718.40,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1710.2
2.01E-09,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.40,1718.40,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1710.2
1.01E-09,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.40,1718.40,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1718.4,1710.2
